Year,Alcohol,PM25,Tob_Both,Tob_Male,Tob_Female,Cig_Both,Cig_Male,Cig_Female,LE_Both,LE_Male,LE_Female
2022,2.60974494198,19.34406250821,20.93125,40.43425,3.152,9.456,19.65075,0.1,79.16122470191779,76.61139240639083,81.53480049797159
2023,2.58338388196,19.14866793742,20.6125,39.81849999999999,3.104,9.312,19.351499999999998,0.1,79.42751622086479,77.13018454680679,81.59402112219531
2024,2.55702282194,18.95327336663,20.29375,39.202749999999995,3.056,9.168,19.052249999999997,0.1,79.69380773981179,77.64897668722274,81.65324174641904
2025,2.53066176192,18.75787879584,19.974999999999998,38.586999999999996,3.008,9.024,18.752999999999997,0.1,79.96009925875879,78.16776882763868,81.71246237064275
2026,2.5043007019,18.56248422505,19.65625,37.97125,2.9600000000000004,8.88,18.45375,0.1,80.2263907777058,78.68656096805462,81.77168299486647
2027,2.47793964188,18.36708965426,19.337500000000002,37.3555,2.9120000000000004,8.736,18.1545,0.1,80.4926822966528,79.20535310847058,81.8309036190902
2028,2.4515785818599998,18.17169508347,19.01875,36.73975,2.8640000000000003,8.592,17.855249999999998,0.1,80.7589738155998,79.72414524888653,81.8901242433139
2029,2.42521752184,17.97630051268,18.7,36.123999999999995,2.8160000000000003,8.448,17.556,0.1,81.02526533454682,80.24293738930247,81.94934486753762
2030,2.39885646182,17.78090594189,18.38125,35.50825,2.7680000000000002,8.304,17.25675,0.1,81.29155685349383,80.76172952971841,82.00856549176135
2031,2.3724954018,17.5855113711,18.0625,34.8925,2.72,8.16,16.9575,0.1,81.5578483724408,81.28052167013438,82.06778611598506
2032,2.34613434178,17.39011680031,17.74375,34.27674999999999,2.672,8.016,16.65825,0.1,81.82413989138782,81.7993138105503,82.12700674020878
2033,2.31977328176,17.19472222952,17.425,33.661,2.6240000000000006,7.872,16.359,0.1,82.09043141033483,82.31810595096626,82.18622736443248
2034,2.29341222174,16.999327658730003,17.10625,33.045249999999996,2.576,7.727999999999999,16.059749999999998,0.1,82.35672292928184,82.8368980913822,82.2454479886562
2035,2.26705116172,16.803933087940003,16.7875,32.4295,2.5280000000000005,7.584,15.7605,0.1,82.62301444822883,83.35569023179815,82.30466861287992
2036,2.2406901017,16.608538517150002,16.46875,31.81375,2.4800000000000004,7.4399999999999995,15.46125,0.1,82.88930596717583,83.8744823722141,82.36388923710365
2037,2.21432904168,16.41314394636,16.15,31.197999999999997,2.4320000000000004,7.295999999999999,15.161999999999999,0.1,83.15559748612284,84.39327451263004,82.42310986132735
2038,2.18796798166,16.21774937557,15.83125,30.58225,2.384,7.152,14.86275,0.1,83.42188900506984,84.912066653046,82.48233048555107
2039,2.1616069216400002,16.022354804780004,15.5125,29.966499999999996,2.336,7.008,14.5635,0.1,83.68818052401684,85.43085879346194,82.54155110977479
2040,2.13524586162,15.826960233990002,15.193750000000001,29.35075,2.2880000000000003,6.864000000000001,14.26425,0.1,83.95447204296386,85.94965093387788,82.60077173399851
2041,2.1088848016,15.631565663200002,14.874999999999998,28.734999999999996,2.2399999999999998,6.72,13.964999999999998,0.1,84.22076356191087,86.46844307429383,82.65999235822223
2042,2.08252374158,15.436171092410001,14.55625,28.11925,2.192,6.5760000000000005,13.665750000000001,0.1,84.48705508085786,86.98723521470977,82.71921298244594
