Year,Alcohol,PM25,Tob_Both,Tob_Male,Tob_Female,Cig_Both,Cig_Male,Cig_Female,NCD_Both,NCD_Male,NCD_Female,LE_Both,LE_Male,LE_Female,LE_OLS_Both,LE_OLS_Male,LE_OLS_Female,LE_Ridge_Both,LE_Ridge_Male,LE_Ridge_Female
2026,2.624610453,21.231486885,20.1,39.440000000000005,2.48,9.139999999999999,19.14,0.1,13.9,17.4,10.8,78.23982616093284,75.95752713352972,80.49871834633473,77.55631841774444,75.15761004913406,79.8720286433462,78.23982616093284,75.95752713352972,80.49871834633473
2027,2.5983643484699996,21.019172016149998,19.7985,38.848400000000005,2.4428,9.002899999999999,18.8529,0.1,13.6915,17.139,10.638,78.34026566921273,76.2462576528748,80.58022329863518,77.51339553131484,75.2344416866641,79.90146891983514,78.34026566921273,76.2462576528748,80.58022329863518
2028,2.57211824394,20.806857147299997,19.497,38.256800000000005,2.4055999999999997,8.865799999999998,18.5658,0.1,13.483,16.877999999999997,10.476,78.44070517749259,76.53498817221988,80.66172825093561,77.47047264488523,75.31127332419413,79.93090919632411,78.44070517749259,76.53498817221988,80.66172825093561
2029,2.5458721394099997,20.59454227845,19.1955,37.665200000000006,2.3684,8.728699999999998,18.2787,0.1,13.2745,16.616999999999997,10.314,78.5411446857725,76.82371869156493,80.74323320323606,77.42754975845564,75.38810496172415,79.96034947281306,78.5411446857725,76.82371869156493,80.74323320323606
2030,2.51962603488,20.3822274096,18.894000000000002,37.0736,2.3312,8.591599999999998,17.9916,0.1,13.065999999999999,16.355999999999998,10.152,78.64158419405236,77.11244921091,80.82473815553651,77.38462687202606,75.46493659925419,79.98978974930202,78.64158419405236,77.11244921091,80.82473815553651
2031,2.4933799303499997,20.169912540749998,18.5925,36.482000000000006,2.294,8.4545,17.704500000000003,0.1,12.857500000000002,16.095,9.990000000000002,78.74202370233223,77.40117973025507,80.90624310783696,77.34170398559642,75.5417682367842,80.01923002579096,78.74202370233223,77.40117973025507,80.90624310783696
2032,2.4671338258199995,19.957597671899997,18.291,35.89040000000001,2.2568,8.3174,17.4174,0.1,12.649000000000001,15.834,9.828000000000001,78.84246321061211,77.68991024960015,80.9877480601374,77.29878109916682,75.61859987431423,80.04867030227992,78.84246321061211,77.68991024960015,80.9877480601374
2033,2.4408877212899998,19.74528280305,17.989500000000003,35.29880000000001,2.2196000000000002,8.180299999999999,17.130300000000002,0.1,12.4405,15.572999999999999,9.666,78.94290271889199,77.97864076894521,81.06925301243785,77.25585821273724,75.69543151184425,80.07811057876887,78.94290271889199,77.97864076894521,81.06925301243785
2034,2.41464161676,19.5329679342,17.688000000000002,34.70720000000001,2.1824,8.043199999999999,16.8432,0.1,12.232000000000001,15.312,9.504000000000001,79.04334222717186,78.26737128829025,81.15075796473829,77.21293532630763,75.77226314937427,80.10755085525783,79.04334222717186,78.26737128829025,81.15075796473829
2035,2.38839551223,19.32065306535,17.3865,34.1156,2.1452,7.906099999999999,16.5561,0.1,12.0235,15.050999999999998,9.342,79.14378173545174,78.55610180763533,81.23226291703874,77.17001243987804,75.84909478690429,80.13699113174678,79.14378173545174,78.55610180763533,81.23226291703874
2036,2.3621494077,19.1083381965,17.085,33.524,2.108,7.768999999999998,16.269,0.1,11.815,14.79,9.18,79.24422124373163,78.8448323269804,81.3137678693392,77.12708955344843,75.92592642443432,80.16643140823572,79.24422124373163,78.8448323269804,81.3137678693392
2037,2.33590330317,18.89602332765,16.7835,32.9324,2.0707999999999998,7.631899999999999,15.9819,0.1,11.6065,14.528999999999998,9.018,79.34466075201149,79.13356284632546,81.39527282163965,77.08416666701882,76.00275806196434,80.1958716847247,79.34466075201149,79.13356284632546,81.39527282163965
2038,2.30965719864,18.683708458799998,16.482000000000003,32.34080000000001,2.0336000000000003,7.4948,15.694800000000003,0.1,11.398000000000001,14.268,8.856000000000002,79.44510026029137,79.42229336567053,81.47677777394007,77.04124378058924,76.07958969949438,80.22531196121365,79.44510026029137,79.42229336567053,81.47677777394007
2039,2.28341109411,18.471393589949997,16.1805,31.749200000000002,1.9963999999999997,7.357699999999999,15.407699999999998,0.1,11.189499999999999,14.006999999999998,8.693999999999999,79.54553976857127,79.71102388501559,81.55828272624052,76.99832089415963,76.15642133702441,80.25475223770259,79.54553976857127,79.71102388501559,81.55828272624052
