Year,Alcohol,PM25,Tob_Both,Tob_Male,Tob_Female,Cig_Both,Cig_Male,Cig_Female,LE_Both,LE_Male,LE_Female
2022,2.55702282194,18.812484225050003,20.6125,39.81849999999999,3.104,9.312,19.351499999999998,0.1,79.48635738974777,77.17827718369014,81.66995066495619
2023,2.47793964188,18.0855113711,19.974999999999998,38.586999999999996,3.008,9.024,18.752999999999997,0.1,80.0777815965248,78.26395410140542,81.86432145616448
2024,2.39885646182,17.358538517150002,19.337500000000002,37.3555,2.9120000000000004,8.736,18.1545,0.1,80.6692058033018,79.34963101912068,82.05869224737279
2025,2.31977328176,16.6315656632,18.7,36.123999999999995,2.8160000000000003,8.448,17.556,0.1,81.2606300100788,80.43530793683595,82.25306303858108
2026,2.2406901017,15.904592809250001,18.0625,34.8925,2.72,8.16,16.9575,0.1,81.8520542168558,81.52098485455122,82.44743382978938
2027,2.1616069216400002,15.1776199553,17.425,33.661,2.6240000000000006,7.872,16.359,0.1,82.44347842363281,82.60666177226648,82.64180462099768
2028,2.08252374158,14.45064710135,16.7875,32.4295,2.5280000000000005,7.584,15.7605,0.1,83.0349026304098,83.69233868998171,82.83617541220599
2029,2.00344056152,13.723674247400002,16.15,31.197999999999997,2.4320000000000004,7.295999999999999,15.161999999999999,0.1,83.62632683718681,84.77801560769699,83.03054620341426
2030,1.92435738146,12.99670139345,15.5125,29.966499999999996,2.336,7.008,14.5635,0.1,84.21775104396383,85.86369252541225,83.22491699462257
2031,1.8452742013999999,12.2697285395,14.874999999999998,28.734999999999996,2.2399999999999998,6.72,13.964999999999998,0.1,84.80917525074084,86.94936944312751,83.41928778583087
2032,1.76619102134,11.54275568555,14.2375,27.5035,2.144,6.432,13.3665,0.1,85.40059945751783,88.03504636084278,83.61365857703917
2033,1.68710784128,10.8157828316,13.6,26.272,2.048,6.144,12.768,0.1,85.99202366429485,89.12072327855805,83.80802936824746
2034,1.60802466122,10.08880997765,12.9625,25.040499999999998,1.952,5.856,12.1695,0.1,86.58344787107184,90.20640019627331,84.00240015945577
2035,1.5289414811600002,9.3618371237,12.325000000000001,23.809,1.8560000000000003,5.5680000000000005,11.571000000000002,0.1,87.17487207784885,91.29207711398855,84.19677095066407
2036,1.4498583011000001,8.63486426975,11.687500000000002,22.5775,1.7600000000000002,5.28,10.9725,0.1,87.76629628462585,92.37775403170383,84.39114174187237
2037,1.37077512104,7.9078914158,11.05,21.346,1.6640000000000001,4.992,10.374,0.1,88.35772049140287,93.46343094941908,84.58551253308066
2038,1.29169194098,7.1809185618499995,10.4125,20.1145,1.568,4.704,9.7755,0.1,88.94914469817986,94.54910786713435,84.77988332428897
2039,1.2126087609199998,6.453945707899999,9.774999999999999,18.882999999999996,1.472,4.4159999999999995,9.177,0.1,89.54056890495687,95.63478478484961,84.97425411549726
2040,1.1335255808600002,5.72697285395,9.137500000000001,17.651500000000002,1.3760000000000003,4.128,8.5785,0.1,90.13199311173388,96.72046170256488,85.16862490670557
2041,1.0544424008,5.0,8.5,16.419999999999998,1.2800000000000002,3.84,7.98,0.1,90.72341731851088,97.80613862028012,85.36299569791386
2042,0.97535922074,5.0,7.8625,15.1885,1.184,3.552,7.3815,0.1,91.10315502391549,98.65757822131542,85.34705653957565
