Year,Alcohol,PM25,Tob_Both,Tob_Male,Tob_Female,Cig_Both,Cig_Male,Cig_Female,NCD_Both,NCD_Male,NCD_Female,LE_Both,LE_Male,LE_Female,LE_OLS_Both,LE_OLS_Male,LE_OLS_Female,LE_Ridge_Both,LE_Ridge_Male,LE_Ridge_Female
2026,2.624610453,21.231486885,20.1,39.440000000000005,2.48,9.139999999999999,19.14,0.1,13.9,17.4,10.8,78.23982616093284,75.95752713352972,80.49871834633473,77.55631841774444,75.15761004913406,79.8720286433462,78.23982616093284,75.95752713352972,80.49871834633473
2027,2.5458721394099997,20.555174931458332,19.497,38.256800000000005,2.4055999999999997,8.865799999999998,18.5658,0.1,13.483,16.877999999999997,10.476,78.47315197587491,76.5845014098646,80.65939962699075,77.47862959928077,75.35138033833329,79.89160687581635,78.47315197587491,76.5845014098646,80.65939962699075
2028,2.4671338258199995,19.878862977916665,18.894000000000002,37.0736,2.3312,8.591599999999998,17.9916,0.1,13.065999999999999,16.355999999999998,10.152,78.70647779081699,77.21147568619945,80.82008090764677,77.4009407808171,75.54515062753252,79.9111851082865,78.70647779081699,77.21147568619945,80.82008090764677
2029,2.38839551223,19.202551024374998,18.291,35.89040000000001,2.2568,8.3174,17.4174,0.1,12.649000000000001,15.834,9.828000000000001,78.93980360575905,77.83844996253431,80.98076218830279,77.3232519623534,75.73892091673174,79.93076334075664,78.93980360575905,77.83844996253431,80.98076218830279
2030,2.30965719864,18.526239070833334,17.688000000000002,34.70720000000001,2.1824,8.043199999999999,16.8432,0.1,12.232000000000001,15.312,9.504000000000001,79.17312942070113,78.46542423886915,81.14144346895881,77.24556314388971,75.93269120593095,79.95034157322681,79.17312942070113,78.46542423886915,81.14144346895881
2031,2.23091888505,17.849927117291667,17.085,33.524,2.108,7.768999999999998,16.269,0.1,11.815,14.79,9.18,79.4064552356432,79.092398515204,81.30212474961483,77.16787432542603,76.12646149513017,79.96991980569695,79.4064552356432,79.092398515204,81.30212474961483
2032,2.15218057146,17.17361516375,16.482000000000003,32.34080000000001,2.0336000000000003,7.4948,15.694800000000003,0.1,11.398000000000001,14.268,8.856000000000002,79.63978105058527,79.71937279153885,81.46280603027085,77.09018550696234,76.32023178432941,79.98949803816711,79.63978105058527,79.71937279153885,81.46280603027085
2033,2.07344225787,16.497303210208333,15.879000000000001,31.157600000000006,1.9592,7.220599999999999,15.120600000000001,0.1,10.981000000000002,13.745999999999999,8.532000000000002,79.87310686552736,80.34634706787371,81.62348731092686,77.01249668849864,76.51400207352862,80.00907627063727,79.87310686552736,80.34634706787371,81.62348731092686
2034,1.9947039442799999,15.820991256666666,15.276000000000002,29.974400000000003,1.8848,6.946399999999999,14.5464,0.1,10.564,13.223999999999998,8.208,80.10643268046942,80.97332134420857,81.78416859158291,76.93480787003497,76.70777236272785,80.0286545031074,80.10643268046942,80.97332134420857,81.78416859158291
2035,1.91596563069,15.144679303124999,14.673,28.791200000000003,1.8104,6.672199999999999,13.9722,0.1,10.147,12.701999999999998,7.884,80.3397584954115,81.6002956205434,81.94484987223892,76.85711905157129,76.90154265192707,80.04823273557757,80.3397584954115,81.6002956205434,81.94484987223892
2036,1.8372273170999998,14.468367349583332,14.07,27.608,1.736,6.397999999999999,13.398,0.1,9.73,12.179999999999998,7.56,80.57308431035356,82.22726989687825,82.10553115289495,76.7794302331076,77.09531294112627,80.06781096804771,80.57308431035356,82.22726989687825,82.10553115289495
2037,1.75848900351,13.792055396041667,13.467000000000002,26.424800000000005,1.6616000000000002,6.123799999999999,12.8238,0.1,9.313,11.658,7.236000000000001,80.80641012529564,82.8542441732131,82.26621243355096,76.70174141464392,77.2890832303255,80.08738920051786,80.80641012529564,82.8542441732131,82.26621243355096
2038,1.6797506899199999,13.1157434425,12.864,25.241600000000005,1.5872,5.8496,12.249600000000001,0.1,8.896,11.136,6.912000000000001,81.03973594023775,83.48121844954797,82.42689371420697,76.62405259618023,77.48285351952472,80.10696743298801,81.03973594023775,83.48121844954797,82.42689371420697
2039,1.60101237633,12.439431488958332,12.261000000000001,24.058400000000002,1.5128,5.575399999999999,11.6754,0.1,8.479,10.613999999999999,6.588,81.2730617551798,84.10819272588283,82.587574994863,76.54636377771655,77.67662380872396,80.12654566545815,81.2730617551798,84.10819272588283,82.587574994863
2040,1.52227406274,11.763119535416667,11.658000000000003,22.875200000000007,1.4384000000000001,5.3012,11.101200000000002,0.1,8.062000000000001,10.092,6.264000000000001,81.50638757012187,84.73516700221766,82.74825627551901,76.46867495925285,77.87039409792317,80.14612389792832,81.50638757012187,84.73516700221766,82.74825627551901
2041,1.44353574915,11.086807581875,11.055000000000001,21.692000000000004,1.364,5.027,10.527000000000001,0.1,7.6450000000000005,9.57,5.940000000000001,81.73971338506394,85.36214127855253,82.90893755617506,76.39098614078918,78.0641643871224,80.16570213039847,81.73971338506394,85.36214127855253,82.90893755617506
2042,1.3647974355599999,10.410495628333333,10.452000000000002,20.508800000000004,1.2896,4.7528,9.9528,0.1,7.228000000000001,9.048,5.6160000000000005,81.97303920000601,85.98911555488738,83.06961883683105,76.31329732232551,78.25793467632161,80.18528036286862,81.97303920000601,85.98911555488738,83.06961883683105
2043,1.28605912197,9.734183674791666,9.849,19.3256,1.2152,4.478599999999999,9.3786,0.1,6.811,8.526,5.292,82.2063650149481,86.61608983122224,83.23030011748709,76.23560850386181,78.45170496552083,80.20485859533878,82.2063650149481,86.61608983122224,83.23030011748709
2044,1.2073208083799998,9.057871721249999,9.246,18.142400000000002,1.1407999999999998,4.204399999999999,8.8044,0.1,6.393999999999999,8.004,5.0,82.43969082989017,87.2430641075571,83.37013858073111,76.15791968539813,78.64547525472004,80.20216830455358,82.43969082989017,87.2430641075571,83.37013858073111
2045,1.12858249479,8.381559767708334,8.643000000000002,16.959200000000003,1.0664,3.9302,8.230200000000002,0.1,5.977000000000001,7.482,5.0,82.67301664483224,87.87003838389194,83.31978633509063,76.08023086693444,78.83924554391926,79.99627773906342,82.67301664483224,87.87003838389194,83.31978633509063
2046,1.0498441812,7.7052478141666665,8.040000000000001,15.776000000000003,0.992,3.6559999999999997,7.656000000000001,0.1,5.5600000000000005,6.96,5.0,82.90634245977431,88.4970126602268,83.26943408945014,76.00254204847076,79.03301583311848,79.79038717357324,82.90634245977431,88.4970126602268,83.26943408945014
2047,0.97110586761,7.028935860624999,7.437,14.592800000000002,0.9176,3.3817999999999997,7.0818,0.1,5.143,6.438,5.0,83.1396682747164,89.12398693656165,83.21908184380965,75.92485323000706,79.2267861223177,79.58449660808306,83.1396682747164,89.12398693656165,83.21908184380965
