Year,Alcohol,PM25,Tob_Both,Tob_Male,Tob_Female,Cig_Both,Cig_Male,Cig_Female,NCD_Both,NCD_Male,NCD_Female,LE_Both,LE_Male,LE_Female,LE_OLS_Both,LE_OLS_Male,LE_OLS_Female,LE_Ridge_Both,LE_Ridge_Male,LE_Ridge_Female
2026,2.624610453,21.231486885,20.1,39.440000000000005,2.48,9.139999999999999,19.14,0.08,13.9,17.4,10.8,78.23982616093284,75.95752713352972,80.49871834633473,77.55631841774444,75.15761004913406,79.8720286433462,78.23982616093284,75.95752713352972,80.49871834633473
2027,2.65085655753,21.549959188274997,20.200499999999998,39.6372,2.4923999999999995,9.185699999999997,19.235699999999998,0.0804,13.969499999999998,17.487,10.854,78.15865643717801,75.79837923820027,80.45521249523766,77.53287067687893,75.06796180099026,79.86495373875645,78.15865643717801,75.79837923820027,80.45521249523766
2028,2.67710266206,21.868431491549998,20.301000000000002,39.8344,2.5048,9.231399999999999,19.331400000000002,0.0808,14.039,17.573999999999998,10.908000000000001,78.07748671342318,75.63923134287079,80.4117066441406,77.50942293601341,74.97831355284646,79.85787883416666,78.07748671342318,75.63923134287079,80.4117066441406
2029,2.70334876659,22.186903794824996,20.4015,40.031600000000005,2.5172,9.277099999999997,19.4271,0.0812,14.1085,17.660999999999998,10.962,77.99631698966837,75.4800834475413,80.36820079304354,77.4859751951479,74.88866530470266,79.8508039295769,77.99631698966837,75.4800834475413,80.36820079304354
2030,2.7295948711199998,22.5053760981,20.502000000000002,40.22880000000001,2.5296,9.322799999999999,19.5228,0.0816,14.178,17.747999999999998,11.016000000000002,77.91514726591353,75.32093555221184,80.32469494194646,77.46252745428238,74.79901705655881,79.84372902498714,77.91514726591353,75.32093555221184,80.32469494194646
2031,2.75584097565,22.823848401375,20.6025,40.426,2.542,9.368499999999997,19.618499999999997,0.08199999999999999,14.247499999999999,17.834999999999997,11.07,77.8339775421587,75.16178765688235,80.28118909084942,77.43907971341687,74.70936880841501,79.83665412039736,77.8339775421587,75.16178765688235,80.28118909084942
2032,2.78208708018,23.14232070465,20.703000000000003,40.623200000000004,2.5544000000000002,9.4142,19.7142,0.0824,14.317,17.922,11.124,77.7528078184039,75.00263976155287,80.23768323975234,77.41563197255137,74.61972056027122,79.8295792158076,77.7528078184039,75.00263976155287,80.23768323975234
2033,2.80833318471,23.460793007924998,20.8035,40.8204,2.5667999999999997,9.459899999999998,19.8099,0.0828,14.3865,18.008999999999997,11.177999999999999,77.67163809464905,74.84349186622342,80.19417738865529,77.39218423168585,74.53007231212739,79.82250431121784,77.67163809464905,74.84349186622342,80.19417738865529
2034,2.83457928924,23.7792653112,20.904000000000003,41.01760000000001,2.5792,9.5056,19.9056,0.08320000000000001,14.456000000000001,18.096,11.232000000000001,77.59046837089424,74.68434397089395,80.15067153755822,77.36873649082033,74.44042406398357,79.81542940662806,77.59046837089424,74.68434397089395,80.15067153755822
2035,2.86082539377,24.097737614474998,21.0045,41.214800000000004,2.5915999999999997,9.551299999999998,20.0013,0.0836,14.5255,18.182999999999996,11.286,77.50929864713942,74.52519607556447,80.10716568646117,77.3452887499548,74.35077581583977,79.80835450203828,77.50929864713942,74.52519607556447,80.10716568646117
